strategy,ticker,entry_date,regime,trend_ok,vol_compressed,rv_ratio,rv_rank,days_held,exit_reason,underlying_ret_pct,mfe_pct,mae_pct,opt_ret_revert,opt_ret_frozen,opt_ret_crush
kinetic,NVDA,2021-01-05,2021_bull,True,True,0.4489,0.0198,9,trailing_ema_exit,-1.834,6.5745,3.9218,-0.4059,-0.691,-0.7794
kinetic,NVDA,2021-08-20,2021_bull,True,True,0.7541,0.0873,2,target_hit,8.0,10.0345,0.2901,1.7571,1.7311,1.6576
kinetic,AMD,2019-05-02,2019_pre_covid,True,True,0.6515,0.1468,6,trailing_ema_exit,1.0022,6.3103,3.3779,-0.0015,-0.122,-0.2503
kinetic,AMD,2019-05-29,2019_pre_covid,True,True,0.9548,0.4048,7,target_hit,8.0,10.2759,5.8965,0.4512,0.5106,0.3986
kinetic,AMD,2020-07-10,2020_covid,True,False,0.6677,0.6548,10,target_hit,8.0,8.3246,9.1762,0.6615,0.5864,0.5016
kinetic,AMD,2020-10-28,2020_covid,True,True,0.6916,0.2817,8,target_hit,8.0,9.3484,6.3127,0.9414,0.8797,0.7953
kinetic,AMD,2021-01-13,2021_bull,True,True,0.7568,0.0516,15,max_hold,-5.5048,3.1609,8.9775,-0.9482,-0.9568,-0.9801
kinetic,AMD,2021-04-29,2021_bull,True,False,1.0621,0.4444,8,stop_hit,-10.0,0.673,10.366,-0.9386,-0.8972,-0.9453
kinetic,AMD,2023-08-03,2023_24_recov,True,True,0.8543,0.1627,2,target_hit,8.0,9.0867,0.0,0.995,1.0135,0.8979
kinetic,AMD,2023-12-08,2023_24_recov,True,True,0.9702,0.4444,5,target_hit,8.0,9.4797,2.0457,0.8043,0.8662,0.7603
kinetic,AMD,2024-06-21,2023_24_recov,True,True,0.8257,0.25,11,target_hit,8.0,10.6337,5.0139,0.8098,0.8122,0.7463
kinetic,MU,2020-05-28,2020_covid,True,False,0.8291,0.8452,7,target_hit,8.0,12.5668,6.4271,0.3746,0.3806,0.2595
kinetic,MU,2021-01-05,2021_bull,True,True,0.8545,0.0317,4,target_hit,8.0,10.0994,0.5364,1.3985,1.4118,1.3325
kinetic,MU,2021-03-24,2021_bull,True,False,1.427,0.877,7,target_hit,8.0,8.408,7.5465,0.2052,0.3919,0.2714
kinetic,MU,2021-12-22,2021_bull,True,False,1.5118,0.8968,10,target_hit,8.0,9.5055,1.2,0.4254,0.5654,0.4791
kinetic,MU,2023-06-29,2023_24_recov,True,True,0.7312,0.0357,5,stop_hit,-10.0,0.1621,10.8196,-0.9362,-0.9528,-0.9814
kinetic,MU,2023-09-28,2023_24_recov,True,True,0.6592,0.0079,1,stop_hit,-3.0,1.6977,3.2439,-0.4637,-0.5729,-0.6911
kinetic,MRVL,2019-09-03,2019_pre_covid,True,False,1.2449,0.7817,7,target_hit,8.0,10.2662,1.9011,0.7841,0.8927,0.8049
kinetic,MRVL,2021-09-20,2021_bull,True,True,0.8047,0.0516,8,trailing_ema_exit,-1.0691,5.2303,2.3191,-0.4732,-0.48,-0.5886
kinetic,MRVL,2021-12-01,2021_bull,True,False,1.2381,0.5516,3,target_hit,8.0,21.6358,4.7423,1.0307,1.1563,1.0538
kinetic,MRVL,2022-01-11,2022_bear,True,False,0.9349,0.6706,3,stop_hit,-3.0,7.6867,3.3013,-0.4899,-0.4307,-0.5592
kinetic,MRVL,2024-10-16,2023_24_recov,True,True,0.6786,0.1627,12,stop_hit,0.0,7.5179,1.4608,-0.3849,-0.4556,-0.5493
kinetic,AVGO,2019-12-16,2019_pre_covid,True,True,0.9198,0.4008,15,max_hold,-0.6803,4.1608,1.6365,-0.7249,-0.6969,-0.7654
kinetic,AVGO,2021-06-21,2021_bull,True,True,0.5852,0.0873,15,max_hold,5.3299,7.1232,1.1839,1.1562,1.1219,1.1077
kinetic,AVGO,2022-03-07,2022_bear,True,False,1.0261,0.7262,15,max_hold,6.0365,6.2961,5.6056,0.3904,0.4224,0.3805
kinetic,AVGO,2022-05-19,2022_bear,True,False,1.2692,1.0,2,stop_hit,-7.8242,0.4928,8.1649,-0.7979,-0.6623,-0.768
kinetic,AVGO,2023-01-10,2023_24_recov,True,True,0.9194,0.3611,15,max_hold,2.2745,4.993,3.8479,-0.2825,-0.2538,-0.3244
kinetic,VRT,2019-05-28,2019_pre_covid,True,,0.5616,,15,max_hold,0.1984,1.0913,0.0992,-0.7063,-0.6155,-0.6836
kinetic,VRT,2019-09-09,2019_pre_covid,True,False,1.5672,0.7738,15,max_hold,0.7851,1.9627,0.0,-0.4156,-0.3332,-0.3954
kinetic,VRT,2019-10-10,2019_pre_covid,True,True,0.8669,0.377,15,max_hold,0.4887,0.6843,0.2933,-0.572,-0.483,-0.5499
kinetic,VRT,2019-11-13,2019_pre_covid,True,True,0.5074,0.0833,15,max_hold,1.3672,1.5625,0.0977,-0.0408,0.0193,-0.0269
kinetic,VRT,2020-02-26,2020_covid,True,False,1.6133,0.996,3,stop_hit,-10.0,0.5435,13.7423,-1.0,-0.9558,-0.9893
kinetic,VRT,2020-05-07,2020_covid,True,False,0.4574,0.8413,8,target_hit,8.0,11.0608,2.5385,1.0758,0.7872,0.7001
kinetic,VRT,2020-11-03,2020_covid,True,True,0.6077,0.3214,6,trailing_ema_exit,-4.5403,5.8456,5.5335,-0.7019,-0.8108,-0.8858
kinetic,VRT,2021-01-07,2021_bull,True,True,0.9591,0.2143,8,target_hit,8.0,11.3269,3.5599,1.6364,1.6616,1.6181
kinetic,VRT,2021-02-26,2021_bull,True,True,0.9494,0.2421,6,trailing_ema_exit,-2.1474,5.4173,7.4671,-0.586,-0.5286,-0.641
kinetic,VRT,2023-02-07,2023_24_recov,True,True,0.8755,0.2619,2,target_hit,8.0,10.9167,0.7348,0.673,0.7054,0.5727
kinetic,VRT,2024-04-22,2023_24_recov,True,False,1.125,0.6429,3,target_hit,8.0,24.5251,4.248,0.5776,0.7075,0.5776
kinetic,VRT,2024-06-03,2023_24_recov,True,False,0.9774,0.5833,4,stop_hit,-10.0,0.1935,11.2424,-0.8412,-0.7927,-0.8713
kinetic,VRT,2024-07-01,2023_24_recov,True,False,1.1438,0.9087,4,target_hit,8.0,8.2256,5.2626,0.3464,0.4872,0.3523
kinetic,VRT,2024-07-19,2023_24_recov,True,False,0.9124,0.5873,3,target_hit,8.0,11.3455,0.7114,0.6684,0.7181,0.5888
kinetic,PWR,2019-08-01,2019_pre_covid,True,True,0.7452,0.0516,1,stop_hit,-3.0,0.0,6.0556,-0.6569,-0.6957,-0.7972
kinetic,PWR,2019-10-09,2019_pre_covid,True,True,0.6705,0.3294,9,target_hit,8.0,9.5378,0.9885,2.4332,2.4134,2.3981
kinetic,PWR,2020-02-25,2020_covid,True,False,1.324,0.7103,10,stop_hit,-7.6082,1.7938,16.2203,-1.0,-0.9801,-0.9964
kinetic,PWR,2020-09-21,2020_covid,True,True,0.6353,0.3929,10,target_hit,8.0,9.8977,4.5624,1.8797,1.8393,1.8129
kinetic,PWR,2021-10-06,2021_bull,True,True,0.7391,0.0714,14,target_hit,8.0,8.8992,2.6106,1.8691,1.8651,1.8587
kinetic,PWR,2021-12-01,2021_bull,True,False,1.1522,0.8532,10,stop_hit,-6.102,1.0549,6.2436,-0.8972,-0.8295,-0.8935
kinetic,PWR,2022-01-06,2022_bear,True,False,0.9483,0.7381,11,stop_hit,-10.0,1.8856,10.8581,-0.9832,-0.9732,-0.9906
kinetic,PWR,2022-02-25,2022_bear,True,False,1.3731,1.0,8,target_hit,8.0,9.569,3.109,0.3813,0.5355,0.4298
kinetic,PWR,2022-09-15,2022_bear,True,True,0.6856,0.1746,7,stop_hit,-7.6584,1.5792,9.5041,-0.8976,-0.9311,-0.9675
kinetic,PWR,2022-12-01,2022_bear,True,False,1.0101,0.4246,15,max_hold,-3.8471,2.99,5.9668,-0.91,-0.8772,-0.9231
kinetic,PWR,2023-02-24,2023_24_recov,True,True,0.9835,0.369,15,max_hold,-0.6321,4.2222,4.1148,-0.7041,-0.6602,-0.7313
kinetic,PWR,2023-08-04,2023_24_recov,True,True,0.7528,0.0079,15,max_hold,-1.2251,2.6218,3.3079,-0.8158,-0.8338,-0.8872
kinetic,PWR,2024-07-01,2023_24_recov,True,False,0.9868,0.6944,1,stop_hit,-3.0,0.125,3.8326,-0.5535,-0.4724,-0.6011
kinetic,PWR,2024-08-02,2023_24_recov,True,False,1.5786,1.0,10,target_hit,8.0,9.2821,8.3051,0.3041,0.4631,0.3702
kinetic,PWR,2024-11-01,2023_24_recov,True,True,0.5807,0.1746,6,target_hit,8.0,9.0731,2.4352,2.2035,2.1172,2.077
kinetic,ALB,2020-07-14,2020_covid,True,True,0.4969,0.3571,4,target_hit,8.0,9.8823,0.7847,1.2509,0.9762,0.8723
kinetic,ALB,2020-11-06,2020_covid,True,False,1.0478,0.5397,1,target_hit,8.0,8.1084,1.9365,0.6144,0.729,0.5869
kinetic,ALB,2021-05-28,2021_bull,True,False,1.0369,0.6071,12,trailing_ema_exit,-1.2392,5.395,3.0713,-0.6241,-0.5524,-0.645
kinetic,HIVE,2019-06-27,2019_pre_covid,True,True,0.7962,0.2183,1,stop_hit,-10.0,0.0,13.1579,-0.609,-0.6214,-0.7402
kinetic,HIVE,2020-06-03,2020_covid,True,True,0.6079,0.3889,7,stop_hit,-10.0,6.6667,20.0,-0.5712,-0.7049,-0.8038
kinetic,HIVE,2020-07-24,2020_covid,True,True,0.6864,0.0913,2,target_hit,8.0,32.1429,3.5714,0.4267,0.3261,0.1847
kinetic,HIVE,2020-11-06,2020_covid,True,False,1.1261,0.5794,2,stop_hit,-10.0,0.0,20.9302,-0.6438,-0.5098,-0.6434
kinetic,HIVE,2020-11-18,2020_covid,True,False,1.0345,0.4484,1,stop_hit,-10.0,4.0,10.0,-0.602,-0.4969,-0.6333
kinetic,HIVE,2021-05-14,2021_bull,True,False,0.8659,0.5,1,target_hit,8.0,8.3333,2.1739,0.2392,0.2752,0.097
kinetic,HIVE,2021-06-30,2021_bull,True,True,0.6662,0.0516,1,target_hit,8.0,18.5185,5.1852,0.5877,0.4531,0.2933
kinetic,HIVE,2021-09-02,2021_bull,True,True,0.6743,0.0198,2,target_hit,8.0,9.6774,3.2258,0.6411,0.5258,0.3806
kinetic,HIVE,2023-06-20,2023_24_recov,True,True,0.5206,0.0079,1,target_hit,8.0,10.303,0.6061,1.138,0.8665,0.7461
