kind,date,ticker,entry1,entry2,target1,target2,sl,strike,premium,opt_type,dte,moneyness_pct,status,fill_px,days_to_resolve,ret_pct,mtm_pct
stock,2023-06-20,OMER,6.15,5.4,8.0,,4.9,,,,,,LOSS,5.95,25,-25.9,56.0
stock,2023-06-20,PYPL,68.0,65.0,78.0,,63.0,,,,,,LOSS,67.13,32,-6.5,-32.3
stock,2023-06-26,KBR,63.1,60.4,68.0,72.0,58.0,,,,,,LOSS,62.57,70,-7.6,-41.8
stock,2023-06-26,MMSI,82.58,80.0,89.0,94.0,78.0,,,,,,LOSS,82.04,21,-11.6,-13.3
stock,2023-06-28,SYM,40.7,37.0,56.0,,36.0,,,,,,WIN,39.23,22,42.7,8.9
stock,2023-06-28,SMCI,235.0,212.0,258.0,269.0,204.0,,,,,,LOSS,22.33,0,5.7,21.9
stock,2023-06-29,TNP,17.4,16.0,22.0,,14.8,,,,,,UNVERIFIABLE,,,,
stock,2023-06-30,ORCL,119.8,112.0,138.0,,108.0,,,,,,LOSS,119.8,60,-12.5,17.1
stock,2023-06-30,GPK,24.0,22.2,28.0,,20.2,,,,,,LOSS,23.86,79,-15.5,-54.5
stock,2023-06-30,HOLX,81.0,78.0,89.0,,76.0,,,,,,UNVERIFIABLE,,,,
stock,2023-06-30,ERII,28.2,26.4,33.4,,25.4,,,,,,LOSS,28.13,44,-9.8,-68.6
stock,2023-07-06,AAPL,191.1,188.0,202.0,,186.0,,,,,,LOSS,189.84,21,-4.1,62.6
stock,2023-07-06,DTE,111.0,108.0,122.0,,106.0,,,,,,LOSS,111.0,28,-6.0,38.8
stock,2023-07-07,WAB,109.3,106.0,122.0,,104.0,,,,,,LOSS,108.0,63,-5.5,142.8
stock,2023-07-07,SPXC,79.55,74.6,92.0,,72.0,,,,,,WIN,78.71,111,16.9,189.3
stock,2023-07-11,FSS,64.55,62.3,76.0,,61.0,,,,,,LOSS,63.74,16,-4.3,105.7
stock,2023-07-11,STRL,59.0,57.0,71.0,,55.0,,,,,,WIN,58.75,20,20.9,1092.8
stock,2023-07-11,COP,105.0,100.0,122.0,,98.0,,,,,,WIN,105.0,38,16.2,-0.3
stock,2023-07-11,USB,34.8,30.6,44.0,,28.0,,,,,,WIN,34.51,110,27.5,78.9
stock,2023-07-12,ZTS,172.88,166.0,189.0,201.0,162.0,,,,,,WIN,171.95,9,9.9,-56.5
stock,2023-07-13,DUK,92.82,88.0,108.0,,86.0,,,,,,LOSS,92.35,56,-7.5,40.3
stock,2023-07-17,ALK,52.55,48.0,64.0,69.0,46.0,,,,,,LOSS,52.22,21,-13.0,-2.2
stock,2023-07-17,HYZN,1.88,1.45,3.45,,1.3,,,,,,UNVERIFIABLE,,,,
stock,2023-07-18,PARA,15.85,14.2,18.8,,13.8,,,,,,UNVERIFIABLE,,,,
stock,2023-07-18,IPG,40.0,38.0,48.0,,36.0,,,,,,UNVERIFIABLE,,,,
stock,2023-07-18,JPM,154.0,147.0,172.0,,144.0,,,,,,LOSS,153.38,36,-6.3,118.1
stock,2023-07-19,HYZN,1.8,1.4,3.45,,1.3,,,,,,UNVERIFIABLE,,,,
stock,2023-07-24,ORCL,118.4,112.0,138.0,,108.0,,,,,,LOSS,117.94,45,-11.1,18.9
stock,2023-07-24,GIS,77.0,74.0,84.0,,72.0,,,,,,LOSS,77.0,11,-7.3,-51.2
stock,2023-07-24,VZ,34.2,31.0,42.0,,29.0,,,,,,WIN,33.88,126,24.0,25.6
stock,2023-08-11,MS,87.9,85.2,98.0,,83.0,,,,,,LOSS,87.06,7,-4.7,145.7
stock,2023-08-14,NVDA,417.0,390.0,460.0,510.0,380.0,,,,,,LOSS,40.49,0,8.1,381.2
stock,2023-08-16,BSY,47.5,44.0,54.0,,41.0,,,,,,WIN,46.85,39,15.3,-31.1
stock,2023-08-16,PLTR,15.4,13.2,19.0,,12.3,,,,,,WIN,15.21,56,24.9,750.1
stock,2023-08-17,GOOGL,130.0,122.0,149.0,162.0,118.0,,,,,,WIN,129.8,109,14.8,177.3
stock,2023-08-21,NXPI,199.5,178.0,216.0,229.0,172.0,,,,,,LOSS,196.57,49,-13.4,39.1
stock,2023-08-23,AMD,108.0,96.0,125.0,135.0,92.0,,,,,,WIN,105.65,68,18.3,390.1
stock,2023-08-25,CTVA,50.3,48.0,55.0,59.0,46.0,,,,,,LOSS,49.93,53,-10.9,71.8
stock,2023-08-28,NSC,214.0,202.0,234.0,249.0,196.0,,,,,,LOSS,210.05,8,-6.9,53.6
stock,2023-08-28,SYM,39.5,35.0,52.0,63.0,33.0,,,,,,LOSS,37.5,11,-13.6,14.0
stock,2023-08-28,VRRM,19.45,17.5,23.0,,16.0,,,,,,WIN,19.23,80,19.6,-77.6
stock,2023-08-29,SMCI,271.0,242.0,320.0,,228.0,,,,,,LOSS,25.36,0,3.2,7.3
stock,2023-08-30,PYPL,63.1,58.0,72.0,,54.0,,,,,,LOSS,62.38,36,-14.4,-27.1
stock,2023-08-30,AAPL,187.0,174.0,211.0,,168.0,,,,,,LOSS,184.94,40,-9.8,66.9
stock,2023-09-06,CRM,221.0,214.0,234.0,,211.0,,,,,,LOSS,219.47,11,-4.9,-24.3
